ticker,rows,start,end
AAPL,2674,2015-01-02,2025-08-20
AMD,2674,2015-01-02,2025-08-20
TSLA,2674,2015-01-02,2025-08-20
TSCO,2674,2015-01-02,2025-08-20
PG,2674,2015-01-02,2025-08-20
ODFL,2674,2015-01-02,2025-08-20
NVDA,2674,2015-01-02,2025-08-20
MSFT,2674,2015-01-02,2025-08-20
MNST,2674,2015-01-02,2025-08-20
META,2674,2015-01-02,2025-08-20
JNJ,2674,2015-01-02,2025-08-20
GOOGL,2674,2015-01-02,2025-08-20
GOOG,2674,2015-01-02,2025-08-20
FICO,2674,2015-01-02,2025-08-20
DECK,2674,2015-01-02,2025-08-20
BRK-B,2674,2015-01-02,2025-08-20
AVGO,2674,2015-01-02,2025-08-20
ANET,2674,2015-01-02,2025-08-20
AMZN,2674,2015-01-02,2025-08-20
V,2674,2015-01-02,2025-08-20
