ticker,rows,min,max
AAPL,2659,2015-01-23,2025-08-19
AMD,2659,2015-01-23,2025-08-19
AMZN,2659,2015-01-23,2025-08-19
ANET,2659,2015-01-23,2025-08-19
AVGO,2659,2015-01-23,2025-08-19
BRK-B,2659,2015-01-23,2025-08-19
DECK,2659,2015-01-23,2025-08-19
FICO,2659,2015-01-23,2025-08-19
GOOG,2659,2015-01-23,2025-08-19
GOOGL,2659,2015-01-23,2025-08-19
JNJ,2659,2015-01-23,2025-08-19
META,2659,2015-01-23,2025-08-19
MNST,2659,2015-01-23,2025-08-19
MSFT,2659,2015-01-23,2025-08-19
NVDA,2659,2015-01-23,2025-08-19
ODFL,2659,2015-01-23,2025-08-19
PG,2659,2015-01-23,2025-08-19
TSCO,2659,2015-01-23,2025-08-19
TSLA,2659,2015-01-23,2025-08-19
V,2659,2015-01-23,2025-08-19
